"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"India","ind","pays","asia",2021-11-14,2021,1122889436,752662221,370227215,NA,3709083,5678164,80.59,54.02,26.57,NA,4075,1635938,0.117,1393409033,6819,9500960586370,5.93,69.91
"Indonesia","idn","pays","asia",2021-11-14,2021,214445104,130283345,84161759,NA,1316828,1477854,77.6,47.14,30.45,NA,5348,739626,0.268,276361788,11829,3269041936630,4.8,72.28
"Iran","irn","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,629216,NA,NA,NA,NA,7400,89514,0.105,85028760,12635,1074299482267,1.13,78.16
"Iraq","irq","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,97766,NA,NA,NA,NA,2374,55830,0.136,41179351,9314,383552326769,1.74,77.37
"Ireland","irl","pays","europe",2021-11-14,2021,7797009,3840350,3772428,420749,12545,23574,156.48,77.07,75.71,8.44,4731,1299,0.026,4982904,90930,453093654115,3.85,82.61
"Isle of Man","imn","pays",NA,2021-11-14,2021,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,12,0.014,NA,NA,NA,NA,NA
"Israel","isr","pays","asia",2021-11-14,2021,16049257,6262501,5760658,4026098,8199,6763,172.74,67.4,62,43.33,728,1203,0.013,8789776,39744,349336647408,2.39,83.59
"Italy","ita","pays","europe",2021-11-14,2021,92312983,46874577,43706507,3227709,73840,186195,152.92,77.65,72.4,5.35,3084,18255,0.03,60367471,40378,2437506704811,3.69,83.79
"Jamaica","jam","pays","america_north",2021-11-14,2021,NA,NA,NA,NA,NA,7105,NA,NA,NA,NA,2389,2941,0.099,2973462,8872,26379759897,5.58,75.09
"Japan","jpn","pays","asia",2021-11-14,2021,194370766,99237050,95133716,NA,NA,327407,154.2,78.73,75.47,NA,2597,74299,0.059,126050796,41241,5198413930090,2.95,84.78
"Jersey","jey","pays",NA,2021-11-14,2021,179485,79346,74906,NA,NA,494,177.58,78.5,74.11,NA,4888,39,0.039,NA,NA,NA,NA,NA
"Jordan","jor","pays","asia",2021-11-14,2021,7662371,4045428,3616943,NA,18587,12537,74.62,39.39,35.22,NA,1221,5886,0.057,10269022,9828,100926719038,1.86,79.86
"Kazakhstan","kaz","pays","asia",2021-11-14,2021,16344892,8533457,7811435,NA,23331,39237,86.05,44.92,41.12,NA,2066,18563,0.098,18994958,25820,490455386925,2.69,73.19
"Kenya","ken","pays","africa",2021-11-14,2021,5997816,3887459,2110357,NA,NA,48597,10.91,7.07,3.84,NA,884,12809,0.023,54985702,4446,244452714976,3.4,67.18
"Kiribati","kir","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,2990,176,0.145,121388,2226,270175518,0.81,63.33
"Kuwait","kwt","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,36209,NA,NA,NA,NA,8365,12350,0.285,4328553,43633,188867337043,0.43,83.54
"Kyrgyz Republic","kgz","pays","asia",2021-11-14,2021,1863966,1042048,818092,NA,8647,8806,28.12,15.72,12.34,NA,1329,3949,0.06,6628347,4919,32604071363,2.41,73.27
"Lao","lao","pays","asia",2021-11-14,2021,NA,NA,NA,NA,NA,18536,NA,NA,NA,NA,2512,18953,0.257,7379358,7924,58475698836,4.12,68.81
